Iteration,Walker_Type,Walker_ID,Step,x0,x1
1,rabbit,5,15,3,1
1,turtle,0,16,0,2
1,turtle,1,16,0,0
1,turtle,2,16,1,1
1,turtle,3,16,0,0
1,turtle,4,16,3,3
1,rabbit,5,16,3,3
1,turtle,0,17,0,1
1,turtle,1,17,1,0
1,turtle,2,17,1,0
1,turtle,3,17,1,0
1,turtle,4,17,2,3
1,rabbit,5,17,3,1
1,turtle,0,18,0,2
1,turtle,1,18,2,0
1,turtle,2,18,1,1
1,turtle,3,18,1,1
1,turtle,4,18,2,2
1,rabbit,5,18,1,1
1,turtle,0,19,0,1
1,turtle,1,19,1,0
1,turtle,2,19,2,1
1,turtle,3,19,0,1
1,turtle,4,19,1,2
1,rabbit,5,19,3,1
1,turtle,0,20,0,0
1,turtle,1,20,1,1
1,turtle,2,20,2,2
1,turtle,3,20,0,2
1,turtle,4,20,2,2
1,rabbit,5,20,3,3
1,turtle,0,21,1,0
1,turtle,1,21,0,1
1,turtle,2,21,2,1
1,turtle,3,21,0,1
1,turtle,4,21,3,2
1,rabbit,5,21,3,1
1,turtle,0,22,0,0
1,turtle,1,22,0,2
1,turtle,2,22,2,2
1,turtle,3,22,0,0
1,turtle,4,22,3,1
1,rabbit,5,22,3,3
1,turtle,0,23,1,0
1,turtle,1,23,0,1
1,turtle,2,23,3,2
1,turtle,3,23,1,0
1,turtle,4,23,3,2
1,rabbit,5,23,1,3
1,turtle,0,24,2,0
1,turtle,1,24,1,1
1,turtle,2,24,3,1
1,turtle,3,24,2,0
1,turtle,4,24,3,1
2,turtle,0,1,1,0
2,turtle,1,1,0,1
2,turtle,2,1,0,1
2,turtle,3,1,0,1
2,turtle,4,1,2,1
2,rabbit,5,1,3,1
2,turtle,0,2,2,0
2,turtle,1,2,0,2
2,turtle,2,2,0,0
2,turtle,3,2,0,2
2,turtle,4,2,3,1
2,rabbit,5,2,1,1
2,turtle,0,3,1,0
2,turtle,1,3,0,1
2,turtle,2,3,1,0
2,turtle,3,3,0,1
2,turtle,4,3,2,1
2,rabbit,5,3,3,1
2,turtle,0,4,1,1
2,turtle,1,4,1,1
2,turtle,2,4,0,0
2,turtle,3,4,0,0
2,turtle,4,4,1,1
2,rabbit,5,4,1,1
2,turtle,0,5,2,1
2,turtle,1,5,0,1
2,turtle,2,5,0,1
2,turtle,3,5,1,0
2,turtle,4,5,1,0
2,rabbit,5,5,3,1
2,turtle,0,6,3,1
2,turtle,1,6,0,0
2,turtle,2,6,0,0
2,turtle,3,6,1,1
2,turtle,4,6,2,0
2,rabbit,5,6,3,3
2,turtle,0,7,3,2
2,turtle,1,7,1,0
2,turtle,2,7,1,0
2,turtle,3,7,0,1
2,turtle,4,7,1,0
2,rabbit,5,7,1,3
2,turtle,0,8,3,1
2,turtle,1,8,0,0
2,turtle,2,8,2,0
2,turtle,3,8,0,0
2,turtle,4,8,2,0
3,turtle,0,1,0,1
3,turtle,1,1,2,1
3,turtle,2,1,0,1
3,turtle,3,1,2,1
3,turtle,4,1,1,0
3,rabbit,5,1,3,1
3,turtle,0,2,0,0
3,turtle,1,2,1,1
3,turtle,2,2,0,0
3,turtle,3,2,2,2
3,turtle,4,2,0,0
3,rabbit,5,2,3,3
3,turtle,0,3,0,1
3,turtle,1,3,0,1
3,turtle,2,3,1,0
3,turtle,3,3,2,1
3,turtle,4,3,0,1
3,rabbit,5,3,3,1
3,turtle,0,4,0,0
3,turtle,1,4,0,2
3,turtle,2,4,2,0
3,turtle,3,4,3,1
3,turtle,4,4,0,0
3,rabbit,5,4,3,3
3,turtle,0,5,0,1
3,turtle,1,5,0,1
3,turtle,2,5,1,0
3,turtle,3,5,3,2
