Iteration,Winner_Type,Winner_ID,Steps,Distance
0,rabbit,0,5,10
1,rabbit,0,23,46
2,rabbit,0,7,14
3,rabbit,0,5,10
4,rabbit,0,9,18
5,rabbit,0,3,6
6,turtle,4,8,8
7,turtle,0,12,12
8,rabbit,0,5,10
9,rabbit,0,3,6
10,turtle,2,8,8
11,rabbit,0,7,14
12,rabbit,0,3,6
13,rabbit,0,3,6
14,turtle,2,16,16
15,turtle,3,4,4
16,rabbit,0,5,10
17,rabbit,0,3,6
18,rabbit,0,17,34
19,rabbit,0,7,14
20,rabbit,0,3,6
21,rabbit,0,3,6
22,rabbit,0,3,6
23,turtle,0,6,6
24,turtle,1,6,6
25,turtle,0,4,4
26,rabbit,0,5,10
27,rabbit,0,3,6
28,rabbit,0,3,6
29,turtle,1,26,26
30,rabbit,0,15,30
31,rabbit,0,9,18
32,turtle,0,4,4
33,rabbit,0,11,22
34,rabbit,0,3,6
35,rabbit,0,9,18
36,rabbit,0,3,6
37,turtle,4,18,18
38,rabbit,0,5,10
39,rabbit,0,3,6
40,rabbit,0,3,6
41,turtle,1,4,4
42,rabbit,0,5,10
43,turtle,4,22,22
44,rabbit,0,3,6
45,turtle,4,4,4
46,turtle,0,8,8
47,rabbit,0,3,6
48,rabbit,0,3,6
49,turtle,2,20,20
50,rabbit,0,3,6
51,rabbit,0,7,14
52,turtle,1,4,4
53,rabbit,0,3,6
54,rabbit,0,5,10
55,turtle,1,8,8
56,turtle,4,6,6
57,rabbit,0,13,26
58,turtle,0,10,10
59,rabbit,0,9,18
60,turtle,0,16,16
61,turtle,3,8,8
62,rabbit,0,9,18
63,turtle,3,10,10
64,rabbit,0,5,10
65,rabbit,0,7,14
66,rabbit,0,3,6
67,rabbit,0,3,6
68,turtle,3,14,14
69,rabbit,0,3,6
70,turtle,0,16,16
71,rabbit,0,3,6
72,rabbit,0,5,10
73,rabbit,0,9,18
74,rabbit,0,11,22
75,rabbit,0,5,10
76,rabbit,0,5,10
77,rabbit,0,5,10
78,rabbit,0,3,6
79,rabbit,0,11,22
80,rabbit,0,5,10
81,rabbit,0,3,6
82,turtle,2,6,6
83,turtle,2,8,8
84,turtle,2,12,12
85,turtle,3,6,6
86,rabbit,0,19,38
87,rabbit,0,3,6
88,rabbit,0,3,6
89,rabbit,0,3,6
90,rabbit,0,9,18
91,rabbit,0,3,6
92,rabbit,0,7,14
93,rabbit,0,5,10
94,turtle,4,12,12
95,rabbit,0,3,6
96,rabbit,0,5,10
97,rabbit,0,3,6
98,rabbit,0,3,6
99,rabbit,0,3,6
