Iteration,Walker_Type,Walker_ID,Step,x0,x1,x2
1,rabbit,5,12,0,3,2
1,turtle,0,13,1,2,1
1,turtle,1,13,0,2,0
1,turtle,2,13,3,1,0
1,turtle,3,13,0,3,1
1,turtle,4,13,2,2,0
1,rabbit,5,13,0,3,0
1,turtle,0,14,0,2,1
1,turtle,1,14,0,2,1
1,turtle,2,14,3,0,0
1,turtle,3,14,0,3,0
1,turtle,4,14,2,2,1
1,rabbit,5,14,2,3,0
1,turtle,0,15,0,2,0
1,turtle,1,15,0,1,1
1,turtle,2,15,3,1,0
1,turtle,3,15,1,3,0
1,turtle,4,15,2,3,1
1,rabbit,5,15,0,3,0
1,turtle,0,16,0,1,0
1,turtle,1,16,0,1,2
1,turtle,2,16,3,0,0
1,turtle,3,16,2,3,0
1,turtle,4,16,1,3,1
1,rabbit,5,16,2,3,0
1,turtle,0,17,0,0,0
1,turtle,1,17,0,1,1
1,turtle,2,17,3,1,0
1,turtle,3,17,2,3,1
1,turtle,4,17,1,3,2
1,rabbit,5,17,0,3,0
1,turtle,0,18,0,0,1
1,turtle,1,18,1,1,1
1,turtle,2,18,3,0,0
1,turtle,3,18,2,2,1
1,turtle,4,18,1,2,2
1,rabbit,5,18,2,3,0
1,turtle,0,19,0,1,1
1,turtle,1,19,2,1,1
1,turtle,2,19,3,1,0
1,turtle,3,19,2,2,2
1,turtle,4,19,1,1,2
1,rabbit,5,19,0,3,0
1,turtle,0,20,0,1,2
1,turtle,1,20,2,0,1
1,turtle,2,20,2,1,0
1,turtle,3,20,2,2,1
1,turtle,4,20,1,2,2
1,rabbit,5,20,0,3,2
1,turtle,0,21,1,1,2
1,turtle,1,21,1,0,1
1,turtle,2,21,3,1,0
1,turtle,3,21,1,2,1
1,turtle,4,21,1,2,1
1,rabbit,5,21,0,3,0
1,turtle,0,22,0,1,2
1,turtle,1,22,2,0,1
1,turtle,2,22,2,1,0
1,turtle,3,22,1,2,2
1,turtle,4,22,1,1,1
1,rabbit,5,22,2,3,0
1,turtle,0,23,0,0,2
1,turtle,1,23,2,1,1
1,turtle,2,23,3,1,0
1,turtle,3,23,1,2,1
1,turtle,4,23,0,1,1
1,rabbit,5,23,0,3,0
1,turtle,0,24,0,1,2
1,turtle,1,24,1,1,1
1,turtle,2,24,3,2,0
1,turtle,3,24,1,2,0
1,turtle,4,24,0,1,2
1,rabbit,5,24,2,3,0
1,turtle,0,25,0,2,2
1,turtle,1,25,0,1,1
1,turtle,2,25,2,2,0
1,turtle,3,25,1,2,1
1,turtle,4,25,0,2,2
1,rabbit,5,25,0,3,0
1,turtle,0,26,0,2,3
1,turtle,1,26,0,2,1
1,turtle,2,26,3,2,0
1,turtle,3,26,2,2,1
1,turtle,4,26,0,3,2
1,rabbit,5,26,0,3,2
1,turtle,0,27,1,2,3
1,turtle,1,27,1,2,1
1,turtle,2,27,3,1,0
1,turtle,3,27,1,2,1
1,turtle,4,27,1,3,2
1,rabbit,5,27,0,3,0
1,turtle,0,28,1,1,3
1,turtle,1,28,1,2,2
1,turtle,2,28,2,1,0
1,turtle,3,28,1,1,1
1,turtle,4,28,1,2,2
1,rabbit,5,28,0,3,2
1,turtle,0,29,1,1,2
1,turtle,1,29,1,2,3
1,turtle,2,29,3,1,0
1,turtle,3,29,2,1,1
1,turtle,4,29,1,3,2
